CustomerID,Name,Age,Gender,Phone,Email,City,State,Pincode,RegistrationDate,Membership,TotalOrders,PreferredCuisine
1,Aryan Maharaj,35.0,Male,1960013389,issaconi@example.org,Nagpur,Haryana,769177,2022-06-11,Basic,4,Fast Food
2,Arunima Ahuja,29.0,Male,2351161559,caleb78@example.org, Hyderabad  ,Tripura,776564,18-02-2024,Zomato Pro,6,Mughlai
3,Farhan Memon,26.0,Other,0341316475,kamalapant@example.org,Vadodara,Uttarakhand,507888,05/17/2023,Gold,5,Mughlai
4,Ekbal Garg,26.0,Female,4835030564,kakardivya@example.org,Jaipur,Nagaland,439964,2022.05.16,Gold,6,Street Food
5,Meghana Shanker,32.0,Female,8496965328,wchand@example.org,Vadodara,Chhattisgarh,489581,27/05/2024,Basic,6,Desserts
6,Michael Dutta,-26.0,Other,6978480184,isaac46@example.org,Bengaluru,Uttar Pradesh,600786,28 Feb 2024,Basic,4,Street Food
7,Aarush Lall,28.0,Female,914272602734,vrinda01@example.com,Hyderabad,Mizoram,585764,08/25/2023,Basic,11,Chinese
8,Wriddhish Bhardwaj,34.0,Male,8227824896,saimuni@example.com,Visakhapatnam,Haryana,449903,2024.12.22,Basic,3,Street Food
9,Raksha Varughese,37.0,Male,5098393010,ekanshbalay@example.com,Bengaluru,Manipur,668583,2024.09.22,Basic,5,Mexican
10,Yoshita Khanna,26.0,Other,9973763116,pallavi67@example.net,Ludhiana,Himachal Pradesh,814315,16-02-2023,Zomato Pro,3,Desserts
11,Guneet Bhat,36.0,Other,3872624731,dchaudhari@example.net,Ahmedabad,Madhya Pradesh,771760,2022.01.15,Basic,4,Thai
12,Girik Khalsa,38.0,Male,6026064746,mdubey@example.com,Vadodara,Goa,605949,26 Aug 2024,Gold,5,Mexican
13,Dalbir Bhat,38.0,Male,7882081219,keernetra@example.org,Delhi,Telangana,224577,2024.04.04,Zomato Pro,9,Mexican
14,Balveer Bumb,43.0,Male,3462475107,borahtanay@example.net,Delhi,Maharashtra,357862,31/01/2022,Basic,2,Mexican
15,kevin palla,18.0,Female,7849808412,jack18@example.org,Indore,Assam,421121,2024.09.23,Gold,6,Italian
16,Baghyawati Kade,40.0,Male,7401640052,neel78@example.net,DELHI,Tamil Nadu,304852,06/11/2024,Basic,9,Healthy Food
17,Aditya Choudhury,24.0,Other,9826204505,zaidchauhan@example.com,Patna,Assam,324182,2024-12-06,Zomato Pro,4,Fast Food
18,Mohammed Khalsa,28.0,Male,2563421607,ryansharma@example.com,Bhopal,West Bengal,333509,2022.07.24,Basic,4,Continental
19,Vedant Kapoor,29.0,Other,1458685014,alkabarad@example.org,Lucknow,Andhra Pradesh,691543,12/19/2024,Basic,8,Biryani
20,Hemani Murthy,34.0,Female,4060883561,dipta14@example.net,Bhubaneswar,Maharashtra,830893,03/08/2023,Zomato Pro,3,Italian
21,Nilima Narain,35.0,Male,6629946804,shivansh69@example.net,Mumbai,Madhya Pradesh,384681,2023-11-15,Gold,6,Biryani
22,Udyati Sathe,28.0,Female,1489513433,aryanbatra@example.org,Patna,Manipur,153861,2022-10-31,Basic,6,Chinese
23,Elijah Shah,26.0,Female,3201632870,jairajshan@example.org,Raipur,Maharashtra,272061,04/12/2024,Basic,4,Thai
24,Edhitha Savant,39.0,Female,7743487347,mangalwahab@example.com,Nashik,Punjab,845344,24-05-2023,Zomato Pro,7,Chinese
25,Ekaja Zachariah,23.0,Male,2316658760,osharamachandran@example.net,Mumbai,Assam,402137,2023-01-31,Basic,8,Bakery
26,Lajita Sood,28.0,Female,8893734670,qnayar@example.net,Kolkata,Andhra Pradesh,735551,28 Jun 2023,Basic,10,South Indian
27,Noah Sibal,33.0,Female,0162720465,suhaninarain@example.com,MUMBAI,Chhattisgarh,813205,2024.11.30,Basic,1,Biryani
28,Arunima Sama,24.0,Female,0531003309,williamdate@example.com,Nashik,,841077,04/16/2024,Zomato Pro,7,Desserts
29,Tejas Shroff,39.0,Female,9124190496,eissac@example.net,Visakhapatnam,Tamil Nadu,330393,01 Jan 2022,Zomato Pro,5,Fast Food
30,Harsh Mitra,34.0,Male,8651850671,opathak@example.com,Nashik,West Bengal,806102,2022-06-23,Zomato Pro,10,Continental
31,Radhika Goda,31.0,Male,7694531473,vraghavan@example.org,Ahmedabad,Telangana,186366,31 Aug 2024,Basic,5,Healthy Food
32,Ekta Gopal,29.0,,4948083136,skhosla@example.com,Raipur,Meghalaya,294431,07/08/2022,Basic,9,Italian
33,Sara Badal,37.0,Other,4957885685,sudiksha44@example.com,Kochi,Assam,639299,12 Oct 2023,Basic,6,Street Food
34,Jai Hans,31.0,Female,3749894134,jalsagola@example.com,Raipur,Karnataka,360868,03-12-2024,Basic,13,Biryani
35,Jonathan Mahal,39.0,Female,7109477752,krishnanvanya@example.org,Ludhiana,Arunachal Pradesh,545021,09 Nov 2022,Gold,5,South Indian
36,Nandini Swamy,36.0,Male,4131869993,cseshadri@example.com,Raipur,Assam,478846,19-02-2024,Basic,4,North Indian
37,Dalaja Bhasin,22.0,Female,1232812067,cmanne@example.org,Ahmedabad,Punjab,140435,2023.07.13,Basic,5,Mughlai
38,Barkha Setty,27.0,Male,6183242102,bhavya71@example.com,Nagpur,Assam,559434,25/02/2022,Basic,9,Biryani
39,Neha Magar,24.0,Female,0659401399,luthrabanjeet@example.org,Raipur,Mizoram,195885,2024-05-13,Zomato Pro,5,Healthy Food
40,Zilmil Sathe,45.0,Male,1756551256,qmani@example.com,Ahmedabad,Himachal Pradesh,269785,2023.02.13,Basic,7,Street Food
41,Suhani Chakrabarti,28.0,,8087603859,wsathe@example.org,Vadodara,Karnataka,223350,23 Aug 2022,Gold,4,Fast Food
42,Amara Deep,47.0,Male,9324808613,shenoyjacob@example.net,Hyderabad,Jharkhand,236936,2023-09-10,Basic,5,Mexican
43,Wishi Manne,41.0,Female,3782639821,oeshi58@example.com,Coimbatore,Mizoram,776460,2022.08.05,Basic,4,Bakery
44,Barkha Misra,31.0,Female,7558867533,xkaur@example.com,Bhopal,Uttarakhand,447961,11/06/2024,Basic,11,Fast Food
45,Eesha Solanki,26.0,Female,0289517187,dhawannimrat@example.net,mumbai,Tamil Nadu,621234,2024-10-09,Zomato Pro,4,Chinese
46,Falan Singh,32.0,Male,1586578091,bhavnakaran@example.net,Vadodara,Uttar Pradesh,361998,2024.04.12,Basic,7,Continental
47,Radha Chaudhari,37.0,Female,0050455623,kgole@example.org,Coimbatore,Tripura,687125,2024.12.23,Zomato Pro,10,Desserts
48,Lavanya Khosla,36.0,Other,7407482175,panini47@example.com,Kolkata,Meghalaya,617720,01/28/2023,Gold,6,Thai
49,Leena Subramanian,33.0,Male,9440640909,xmangat@example.org,Ludhiana,Bihar,157727,2024.12.29,,10,Fast Food
50,Theodore Gupta,29.0,Female,4709521456,saideo@example.net,Coimbatore,Punjab,303320,07 Sep 2024,Basic,5,Bakery
51,Yachana Mahajan,36.0,Male,5171236851,qatwal@example.net,Chennai,Uttarakhand,199319,02/11/2022,Basic,3,Fast Food
52,Suhani Pillay,43.0,Female,1370985931,pmittal@example.com,Patna,Sikkim,761195,28-05-2024,Zomato Pro,5,
53,Logan Bath,41.0,Male,3826758692,fchaudhary@example.net,Visakhapatnam,Arunachal Pradesh,538362,03 Jun 2022,,9,North Indian
54,Ati Bali,26.0,Male,3515850643,shagavin@example.net,Jaipur,Tamil Nadu,681016,2023.02.10,Basic,3,South Indian
55,ansh bedi,42.0,Female,3183933529,malhotramaanav@example.org,Bhopal,Uttar Pradesh,428863,2022.09.12,Basic,7,Thai
56,Owen Choudhary,37.0,Female,3950240268,bhattvamakshi@example.com,Mumbai,Sikkim,85529X,2022.07.07,Gold,5,Biryani
57,Yochana Chopra,35.0,Female,4700766177,buchekanta@example.net,Guwahati,Manipur,474864,04/10/2024,Basic,7,Mughlai
58,Dominic Date,31.0,Other,4789611836,akari@example.com,Delhi,Himachal Pradesh,374660,20-07-2024,Basic,7,Bakery
59,Mohini Sagar,40.0,Other,4527111161,kalpit80@example.net,Surat,Telangana,164119,2024.10.17,Basic,8,Mexican
60,Jason Roy,16.0,Male,4519832731,jhalak14@example.net,Ludhiana,Kerala,124339,21/11/2022,Zomato Pro,9,Continental
61,Pushti Bal,41.0,Other,4550229612,chandtanveer@example.com,Lucknow,Punjab,615938,2024-11-08,Zomato Pro,9,Desserts
62,Sudiksha Om,26.0,Female,9102290147,msunder@example.com,Raipur,Goa,86931X,04/29/2024,Zomato Pro,10,Mexican
63,Anjali Kale,18.0,Other,4978403690,jayaramancharvi@example.org,Raipur,Tripura,307817,12/02/2024,Basic,7,Bakery
64,Aadhya Mann,35.0,Female,2268388516,sarinanirudh@example.com,Nashik,Karnataka,242379,08 Nov 2022,Basic,6,North Indian
65,Dhriti Sanghvi,36.0,Male,6052975161,rajatarattan@example.net,Indore,Odisha,387897,11/13/2022,Basic,3,Mughlai
66,Meghana Mukherjee,43.0,Other,1818835523,dhingraaahana@example.org,Ludhiana,Telangana,757454,26 Sep 2024,Basic,8,North Indian
67,Michael Borra,39.0,Other,7995527177,anvi90@example.com,Hyderabad,Goa,424013,2024.06.27,Gold,8,Thai
68,Dayita Shenoy,33.0,Other,1199867980,uguha@example.net,Kolkata,Manipur,749099,2022-12-15,Gold,3,South Indian
69,Yachana Dora,34.0,Female,8203778892,kashish46@example.com,Lucknow,Arunachal Pradesh,472352,20/11/2022,Basic,6,Mughlai
70, Charles Natt  ,22.0,Male,4492519254,,Ahmedabad,Assam,712734,2024-02-21,Basic,2,Bakery
71,Dayita Puri,30.0,Other,6850542357,upkaardevan@example.org,Vadodara,Rajasthan,351297,14 Oct 2024,Zomato Pro,4,Mexican
72,Chakrika Chaudhuri,21.0,Male,914145461251,wazir79@example.com,Guwahati,Mizoram,572237,03/22/2022,Zomato Pro,5,Mexican
73,Vivaan Walla,38.0,Other,9774688623,zashilben@example.net,Kochi,Haryana,615255,13-07-2023,Gold,6,Fast Food
74,Kamya Chauhan,25.0,Other,4782613750,zbera@example.net,Vadodara,Tamil Nadu,7551,24 Mar 2024,Basic,4,Bakery
75,Warinder Raju,31.0,Male,1522047277,buchanirudh@example.com,Coimbatore,Assam,453940,21-02-2022,Basic,5,Continental
76,Mason Wable,39.0,Male,1036971179,varmawyatt@example.net,Delhi,Maharashtra,211914,16 Sep 2023,Basic,2,South Indian
77,Bishakha Sanghvi,25.0,Male,2185188888,ramakrishnanupma@example.org,Indore,Andhra Pradesh,537941,22 Jul 2022,Basic,6,Street Food
78,Kashvi Kulkarni,21.0,Female,3195205852,osrinivas@example.org,Visakhapatnam,Telangana,399283,2024-01-05,Basic,6,Desserts
79,Dev Shankar,39.0,Male,0548687403,ishanvi05@example.com,Chandigarh,Arunachal Pradesh,702003,2023.05.14,Gold,5,Mexican
80,Jhalak Sarkar,48.0,Male,7758416169,chaayanagi@example.org,Jaipur,Madhya Pradesh,372830,2022-10-24,Gold,3,Continental
81,Falak Merchant,31.0,Male,7570596401,gpatla@example.net,Jaipur,Jharkhand,551410,2022.04.18,Gold,8,Thai
82,Azaan Dhar,23.0,Male,3556909275,sachi19@example.org,VADODARA,West Bengal,784592,12/03/2024,Zomato Pro,8,Mughlai
83,Mitali Murthy,16.0,,2786814473,vritti31@example.org,Chennai,Rajasthan,764645,15 May 2022,Gold,4,Fast Food
84,Siya Gera,31.0,Male,1884422583,iyerliam@example.org,Guwahati,Tamil Nadu,349593,17-03-2023,Basic,4,Mughlai
85,Atharv Patel,40.0,Other,9114678669,dassedhitha@example.net,Coimbatore,Nagaland,199512,05/18/2022,Basic,10,Healthy Food
86,Shivani Shukla,25.0,Other,2268018242,ekantikakar@example.com,Hyderabad,Sikkim,807661,2024.04.21,Zomato Pro,7,Healthy Food
87,Farhan Krishna,25.0,Male,8182992299,benjamin01@example.org,Chennai,Gujarat,223476,2024.09.14,Gold,6,Healthy Food
88,SHIVANSH SAHA,36.0,Other,4736471027,dsule@example.org,Nashik,Punjab,837158,23/02/2022,Basic,8,Biryani
89,Maanas Munshi,28.0,Male,5881537147,lohitchatterjee@example.org,Chennai,West Bengal,666252,2022-03-04,Basic,7,Thai
90,Leena Sahota,38.0,Male,3278774701,dtiwari@example.org,Kolkata,Haryana,574638,12 Apr 2022,Basic,7,Fast Food
91,Ira Bava,44.0,Other,4801624565,,Coimbatore,Arunachal Pradesh,341231,12/15/2024,Zomato Pro,6,North Indian
92,Janani Mani,34.0,Male,4991216558,maanas39@example.net,MUMBAI,Assam,245462,15/10/2024,Basic,8,Chinese
93,Xiti Baria,21.0,Male,8729825952,lmistry@example.com,Chandigarh,Arunachal Pradesh,853964,29 May 2024,Basic,9,Desserts
94,Chandani Soman,26.0,Female,6940974993,srinivasanonkar@example.net,Bengaluru,Uttarakhand,566840,2024-06-13,Basic,13,Italian
95,Manbir Kibe,53.0,Other,5626368970,zilmiljohal@example.net,Kochi,Arunachal Pradesh,786797,02-02-2023,Zomato Pro,4,Bakery
96,Vanya Vora,35.0,Other,5854973348,umang44@example.net,Coimbatore,Madhya Pradesh,717617,08-08-2024,Basic,8,Mexican
97,vrinda nadig,20.0,Female,1986652404,palriya@example.net,BENGALURU,Meghalaya,427531,2024.08.18,Basic,7,Biryani
98,Varenya Kala,29.0,Other,1993308330,sachdevganga@example.net,Kochi,Gujarat,691243,2024.02.27,Basic,5,Street Food
99,Harish Devan,31.0,Male,3454019380,omishagoda@example.org,Delhi,Andhra Pradesh,470121,07/11/2024,Basic,5,Mexican
100,Warhi Grewal,32.0,Female,9915478872,mmahajan@example.org,Lucknow,Telangana,464804,03/04/2024,Basic,3,Mexican
101,Nicholas Shanker,43.0,Other,4932966851,lchandran@example.org,Nashik,Rajasthan,721047,2022-11-04,Zomato Pro,5,South Indian
102,Ekiya Kothari,16.0,Female,4549904530,shroffdamyanti@example.org,Visakhapatnam,Andhra Pradesh,244002,02/11/2024,Zomato Pro,5,Healthy Food
103,Yadavi Mukhopadhyay,35.0,Male,3327279568,zyogi@example.net,Surat,Tamil Nadu,468333,2023.09.25,Gold,3,Italian
104,Yug Bumb,24.0,Other,9108839822,zinal71@example.net,Kochi,Mizoram,758053,19/03/2022,Zomato Pro,2,Mexican
105,Vrinda Chand,26.0,Male,8679087406,aarush39@example.org,Indore,Mizoram,750256,17-01-2024,Gold,5,Mughlai
106,Pallavi Padmanabhan,35.0,Female,7046226567,fprashad@example.net,Nashik,Tamil Nadu,405460,2024-06-21,Basic,6,Mexican
107,Ijaya Dani,16.0,Other,0047868633,jpal@example.com,Coimbatore,Goa,855958,31/01/2024,Basic,7,South Indian
108,ISAIAH BALAY,46.0,Male,3119079030,osarna@example.net,Ahmedabad,Uttar Pradesh,545051,12 Jul 2024,Zomato Pro,8,North Indian
109,Daksh Dey,,Female,9953428364,darsh89@example.net,Chennai,Mizoram,605405,2022.10.09,Basic,3,Fast Food
110,Prisha Tandon,32.0,Other,6624628733,maanas70@example.net,Bhubaneswar,Arunachal Pradesh,412097,16/12/2024,Basic,6,South Indian
111,Omaja Wagle,16.0,Other,5175183046,,Visakhapatnam,Chhattisgarh,363691,2022.02.03,Basic,4,Street Food
