DeliveryPartnerID,Name,Age,Gender,VehicleType,JoiningDate,City,Rating,CompletedDeliveries,AverageDeliveryTime
1,Niharika Sathe,37,Male,Bike,22/10/2024,Ahmedabad,3.6,539,35.7
2,Zashil Rajagopalan,37,Female,Car,28/11/2023,Lucknow,4.4,978,30.8
3,Harish Shan,29,Male,Scooter,25-08-2021,Indore,4.6,518,30.2
4,aashi kulkarni,22,Female,Bike,19 Jul 2021,Delhi,4.8,225,47.6
5,Maanav Grewal,23,Male,Bike,10/08/2023,Bhubaneswar,4.2,632,-35.7
6, Dalaja Yogi  ,42,Female,Car,04/13/2023,Chennai,3.7,272,30.8
7,Vyanjana Agrawal,32,Male,Bike,2022.11.13,kolkata,3.8,537,24.3
8,Yachana Purohit,28,Female,Bike,06-10-2023,Kochi,4.6,1033,19.2
9,Neel Chakraborty,19,Female,Car,30-06-2022,Ludhiana,3.9,737,11.7
10,Chanakya Madan,26,Male,Bicycle,14 Feb 2023,Chandigarh,4.1,174,50.5
11,Harini Sibal,32,Male,Bike,05/11/2022,Ahmedabad,4.3,745,18.5
12,Shravya Kapur,21,Male,Bike,2022.02.05,ludhiana,4.1,555,42.2
13,Zarna Bhakta,23,Female,Bicycle,10/06/2024,Lucknow,4.4,376,27.0
14,Urmi Subramanian,27,Female,Bike,13-09-2022,Ahmedabad,4.4,495,35.4
15,Jacob Loyal,25,Female,Bike,2023.02.13,Vadodara,3.8,471,31.9
16,Nidhi Yogi,29,Female,Bike,03 May 2023,Patna,4.3,187,35.5
17,Pooja Zacharia,35,Female,Bike,28-07-2022,Kochi,4.0,754,24.0
18,Udyati Sha,22,Male,Scooter,06/07/2023,Lucknow,4.1,269,36.3
19,Riya Mohanty,28,Female,Bike,30/11/2023,Jaipur,4.6,290,24.3
20,Hemal Salvi,18,Male,Bike,04/22/2024,bhubaneswar,3.6,366,36.6
21,Abhimanyu Sharma,23,Male,Bike,2024.10.14,Chandigarh,4.4,99,34.4
22,Varsha Kalla,21,Male,Bike,04/24/2023,Chandigarh,4.2,436,40.0
23,Imaran Borra,32,Female,Bike,2022.10.31,Indore,3.9,1676,33.5
24,Janya Sridhar,24,Male,Scooter,2023-10-23,Chandigarh,4.5,248,35.6
25,Ranveer Bumb,27,Male,Bike,04-09-2022,Patna,3.8,533,41.0
26,Jhalak Pillay,30,Male,Bike,15 Jul 2021,Delhi,3.8,437,39.5
27,Forum Swamy,25,Male,Bike,14/11/2022,Vadodara,3.8,217,29.6
28,Hardik Gulati,28,Male,Car,24/03/2022,Coimbatore,3.9,757,21.9
29, Max Tiwari  ,18,Male,Bicycle,24 Sep 2024,Ludhiana,4.0,379,40.7
30,Brijesh Goswami,20,Female,Bike,11-02-2023,Kochi,4.2,448,12.1
31,Siddharth Dey,23,Female,Bike,04/15/2022,Guwahati,3.4,978,33.5
32,Aarnav Sarraf,26,Female,Bike,16 Nov 2024,Nashik,4.4,353,33.1
33,Farhan Bakshi,23,Male,Bicycle,2024-10-19,Vadodara,4.6,220,42.0
34,Logan Sinha,24,Male,Bike,2024-08-19,Delhi,4.5,866,47.4
35,Chavvi Buch,24,Male,Bike,12/29/2023,Ahmedabad,4.0,241,33.6
36,Nikita Yogi,33,Female,Bike,12/03/2025,Patna,3.8,283,19.6
37,Abha Sankar,23,Female,Scooter,2022-03-05,Surat,4.5,404,15.6
38,Devansh Andra,29,Male,Bike,2023.01.31,Delhi,4.4,401,20.3
39,Radhika Dass,25,Female,Bicycle,2022.08.06,Vadodara,4.0,549,37.0
40,Karan Rastogi,31,Female,Bike,02/27/2024,DELHI,4.6,221,34.9
41,Om Bedi,22,Male,Bicycle,06-09-2021,Guwahati,4.2,1636,32.3
42,Dayamai Pradhan,39,Male,Bike,2022.02.03,Pune,4.9,199,36.3
43,Ansh Barad,37,Male,Bike,2025.03.18,Ahmedabad,4.6,276,32.1
44,Chandani Nayak,34,Female,Bike,03/17/2023,Visakhapatnam,4.2,552,22.5
45,Laksh Chad,25,Female,Scooter,21/03/2025,Chandigarh,4.4,306,28.0
